sex_f,birthregion_us,dep1,se1,sra
1,1,2.25,3,8
0,1,1,3,NA
1,1,1,3.6,44
1,1,1,3.78,31
0,1,3.25,3,62
1,1,1.5,3.4,67
1,1,1.5,3.3,44
1,1,1.5,3.2,NA
1,1,1,4,NA
0,1,1,3,NA
0,1,3.25,2.6,87
1,1,1.5,3.9,NA
0,1,1.25,3.7,51
1,1,1,3.7,40
0,1,1,3.9,60
0,1,1.5,4,73
1,1,2,3.7,70
0,1,1,3.7,NA
0,1,1.25,2.8,22
1,1,1,4,44
0,1,1.5,3.4,38
0,1,1,3.9,87
0,1,2.5,3.3,82
0,1,2.25,2.9,NA
1,1,1.25,3.1,8
0,1,1,4,83
0,1,1.25,4,84
0,1,1,4,67
1,1,1.75,3.2,62
1,1,1,3.6,49
1,1,3,3.8,88
0,1,1.25,4,NA
0,1,1.25,3.7,87
0,1,1.5,2.6,8
0,1,1,3,32
0,1,1.25,3.8,89
0,1,1.25,4,63
1,1,1,3.8,61
1,1,1,3.7,18
1,1,1.75,2.5,62
0,1,1.25,3.1,76
0,1,1.5,3.5,NA
0,1,1,3.8,25
1,1,1.25,4,62
0,1,NA,3.6,NA
0,1,1,3.7,NA
0,1,3,2.4,29
1,1,1,3,4
1,1,1,3.6,34
1,1,NA,NA,37
1,1,1.5,4,82
0,1,1,3.5,40
1,1,2,2.5,79
0,1,1.5,3.3,46
0,1,1.25,3.9,32
1,1,1.75,3.1,49
0,1,2.75,4,NA
1,1,1.5,3.4,35
1,1,2,3.9,22
0,1,1.5,4,70
0,1,1.25,3.8,43
0,1,1.5,3.7,5
1,1,1.5,3,NA
1,1,2.25,2.4,49
0,1,1,4,24
1,1,1.5,3,53
0,1,1,NA,31
1,1,1,3.3,10
1,1,1,3.7,54
0,1,1,3.1,37
0,1,1,4,22
1,1,2,2.33,20
1,1,1.25,3.8,66
1,1,2,2.7,46
0,1,1,3.9,NA
1,1,1,3.2,18
0,1,1,3.56,29
1,1,1,4,59
1,1,3.5,2.1,83
0,1,1,3,41
0,1,1.75,3.6,82
1,1,2.5,3,73
1,1,1.25,3.8,NA
1,1,1.75,3.8,59
1,1,1.5,2.4,57
1,1,1.25,3.2,76
1,1,3.25,2.3,80
1,1,1.5,3.3,54
1,1,1,4,99
1,1,3,2.8,18
0,1,1.25,3.9,86
1,1,2.75,3.4,68
1,1,2.5,2.8,64
0,1,1.25,3.7,50
1,1,1.5,3.7,25
0,1,2.25,2,29
1,1,3,3.5,37
1,1,1.5,3.1,84
1,1,2.5,2.2,63
0,1,1.25,4,59
1,1,1.25,4,84
0,1,1.5,4,97
1,1,1.25,4,86
1,1,1,3.2,NA
1,1,1.75,3.3,44
0,1,1.5,3.5,NA
1,1,3.25,3.2,37
1,1,1.25,3.3,8
1,1,2.25,3.3,47
1,1,2,3.9,27
1,1,1.5,4,45
1,1,3,2.3,29
1,1,2,3.6,91
1,1,1.25,3.8,69
0,1,1.25,4,73
1,1,1.25,3,16
1,1,1,4,41
1,1,1,3.8,42
1,1,1.25,4,87
1,1,1,3.4,71
1,1,2.5,2.4,58
0,1,2,4,92
1,1,1,4,76
1,1,1,3.9,NA
0,1,1.25,3.2,40
1,1,3.25,3.3,13
0,1,1.75,2.7,NA
1,1,1.5,3.3,64
1,1,2,3.8,0
1,1,1,3.8,40
0,1,2.25,2.9,94
0,1,1.5,3.2,97
0,1,1.75,3.6,10
1,1,2,3.3,11
0,1,1.5,2.8,NA
1,1,1.75,3.4,70
1,1,1.5,3.1,22
0,1,2.25,2.6,68
1,1,1.75,2.6,2
1,1,1.5,3.4,79
1,1,3,2.7,NA
1,1,1.75,3,NA
0,1,1,3.5,28
0,1,1.5,3.3,25
1,1,2.25,2.4,27
1,1,1.25,2.6,1
0,1,2.25,2.6,4
0,1,1.25,4,54
1,1,2.75,3.1,20
1,1,2.5,3.9,NA
0,1,1.25,3.6,61
0,1,1,3.3,10
0,1,1,2.6,17
1,1,1.75,2.3,44
1,1,2,3.4,35
1,1,1.5,3,34
1,1,2.25,3.2,54
0,1,1,3.8,20
1,1,1.25,3.6,50
1,1,1.5,3.9,80
1,1,1,2.9,NA
0,1,1,3.2,22
1,1,1,4,37
1,1,1.25,3.8,15
0,1,1.5,3.3,67
1,1,1.5,3.5,90
1,1,1.25,2.8,68
1,1,3.5,3.4,NA
0,1,1.5,2.8,3
1,1,2.5,3.2,13
0,1,2.5,3.6,28
0,1,1.5,3,NA
1,1,1.25,3.4,4
0,1,1.25,3.5,57
0,1,1.75,3,46
0,1,1,2.8,1
1,1,2.25,3.7,39
1,1,2,1.3,34
0,1,1,3.3,NA
1,1,1,3.5,44
0,1,1.25,3.4,70
0,1,2,3.4,84
1,1,1.75,2.3,24
1,1,1.25,3.4,5
1,1,1,3,NA
1,1,1.5,3.6,37
0,1,1,3.67,NA
1,1,1.5,3.4,NA
1,1,2.5,2.5,11
1,1,1,3.1,35
1,1,1.5,2.56,35
1,1,1,3.7,NA
1,1,2.5,3.8,NA
0,1,1.75,3.2,37
1,1,2.25,3.2,20
1,1,2.5,2.9,5
1,1,1,3.8,NA
0,1,1.25,3.7,41
0,1,1,3.8,24
1,1,1,3.9,31
1,1,1.5,3.3,41
1,1,1.5,3.3,3
1,1,1.25,3.1,49
1,1,1.25,3.8,29
1,1,2.25,2.9,49
0,1,1,3.7,NA
0,1,2,3.4,91
1,1,2,3.3,22
1,1,2,2.5,49
0,1,1.25,3.6,62
1,1,1.5,3.1,57
0,1,1.5,3.5,41
0,1,1.25,3.8,83
0,1,1.25,4,46
1,1,1.5,3.7,75
0,1,1.75,2.7,NA
1,1,3,3.1,79
1,1,2.25,2.4,24
1,1,1.75,3.6,53
1,1,1,3.8,98
0,1,1.25,4,96
1,1,2,2.9,5
1,1,2,3.4,NA
1,1,2,3.4,44
1,1,2,3.2,82
1,1,2,3.2,44
0,1,1.25,4,94
0,1,1.25,3.3,54
1,1,1,3.8,54
1,1,2,3.4,NA
0,1,1.5,3.7,NA
1,1,2.5,3.9,99
0,1,1.5,3.3,31
0,1,3.25,1.5,49
0,1,1.25,3.4,31
1,1,1.75,3.4,81
1,1,1,3.4,64
1,1,1,3.9,NA
0,1,1.25,3.5,NA
0,1,2.5,3.5,NA
0,1,1.25,2.9,43
0,1,1.5,3.5,NA
1,1,1.5,3.5,61
0,1,1.25,3.7,NA
1,1,3.25,2.4,40
0,1,1,4,83
1,1,1.75,3.6,37
1,1,1.5,3.6,41
1,1,1.25,4,67
1,1,1.75,3,79
1,1,2.25,3.6,84
0,1,1,3.6,57
0,1,1.75,3,26
1,1,2.25,3.5,62
0,1,1.5,3.1,62
0,1,3.75,2.1,76
1,1,1,4,51
0,1,1.75,2.1,53
1,1,1,4,59
0,1,2.75,2.9,94
1,1,1.5,3,87
0,1,1.75,3.7,63
1,1,1,3.7,61
1,1,1.25,4,94
0,1,1,4,NA
1,1,2.5,2.5,58
1,1,3.25,3,57
0,1,2.25,2.7,NA
0,1,1.5,3.2,70
0,1,1.5,3.5,84
0,1,2,3.2,35
1,1,1.25,4,88
0,1,1.25,3.6,57
0,1,1.5,3.9,13
1,1,1,4,54
0,1,1,3.8,34
0,1,1,3.9,6
1,1,1.25,4,49
1,1,1.25,4,94
0,1,1.5,3.8,87
1,1,1.25,NA,NA
1,1,1,3.4,6
1,1,1.25,3.9,53
0,1,2.5,3.6,4
1,1,2.5,2.4,25
0,1,1.5,3.7,49
1,1,2.5,3.3,NA
0,1,1.25,4,99
1,1,1.5,3.5,88
1,1,2,3.2,62
1,1,1.5,4,47
0,1,1.5,2.5,3
1,1,2.5,2.7,25
1,1,1,4,40
1,1,2,2.6,70
1,1,1.5,3.5,87
1,1,1.75,2.7,NA
0,1,1,3.6,28
0,1,1.25,3.6,54
0,1,2,2.5,23
1,1,2,2,99
1,1,1,2.9,64
1,1,1.25,3.8,70
1,1,1.75,3.3,70
1,1,1,3.7,73
0,1,1.25,2.9,81
1,1,2,4,42
1,1,1,2.7,1
1,1,1.75,3.5,89
1,1,1.25,3.6,NA
0,1,1,2.8,70
0,1,1.25,3.3,13
1,1,2.25,2.7,58
1,1,3.75,3.1,58
0,1,1.25,3.9,84
0,1,1.25,3.9,67
0,1,1.75,4,59
1,1,1.75,3.5,67
1,1,2.25,3.2,59
1,1,2.25,2.5,32
0,1,1.5,3.2,47
1,1,1.25,3.3,67
1,1,2.75,3.5,49
0,1,1.25,3.9,34
0,1,3.25,2.5,NA
0,1,1,3.4,61
1,1,1.75,3.9,22
1,1,1.5,3.2,37
0,1,1.75,3.4,99
1,1,NA,NA,79
0,1,1,3.9,62
1,1,2.25,3.5,84
0,1,3,3.3,77
1,1,2.25,3.5,16
1,1,2.25,3.5,24
0,1,1,3.7,37
0,1,1.25,3.8,94
0,1,1.25,4,64
1,1,1,3.8,70
1,1,1.75,4,NA
0,1,1.25,3.6,54
1,1,1.25,2.1,NA
1,1,1,3.7,41
0,1,2,3.5,63
1,1,2,2.7,46
1,1,1,2.9,65
1,1,1.75,3,25
1,1,1.5,3.1,35
1,1,1,3.6,56
1,1,1,2,57
1,1,2.25,2.5,46
1,1,3.5,2.1,22
0,1,2,3.6,23
1,1,2,2.89,49
1,1,2,2.4,8
0,1,1.5,3.5,87
0,1,1,3.8,53
1,1,1.75,3.2,20
0,1,2,3.2,65
0,1,1,2.5,46
0,1,1,4,20
0,1,1.75,3,41
0,1,1.5,4,66
0,1,1.5,2.9,23
0,1,1,3.7,3
1,1,1.5,2.5,15
1,1,1.75,3,20
1,1,1.5,3.1,91
0,1,1,3.9,41
0,1,2,2.5,1
1,1,1.75,4,71
0,1,1,4,34
0,1,1,3.9,35
0,1,2,3.7,10
1,1,1.33,3.8,3
0,1,1,3.78,1
0,1,1.75,2.9,15
0,1,1.25,3.3,41
1,1,1.5,3.7,49
0,1,1,2.7,13
1,1,3.5,2.8,4
0,1,1.25,3.5,70
0,1,1,4,5
0,1,2,3.4,57
1,1,2,4,7
1,1,1.5,3.3,23
0,1,2.25,2.5,4
0,1,1,4,15
1,1,1.25,4,66
1,1,1.25,3.56,15
0,1,2.25,3.7,34
1,1,1,3,8
0,1,1,3.5,40
0,1,2,3.2,15
0,1,1.25,3.5,18
0,1,2.33,3.2,10
1,1,1.75,4,25
1,1,1.75,3.8,70
1,1,1.5,2.9,23
0,1,1,3,1
1,1,1.25,2.89,10
0,1,1.75,2.2,18
1,1,1.5,3.2,34
1,1,2.25,4,49
1,1,1.5,2.7,15
1,1,2.5,3.3,87
0,1,1,3.2,75
0,1,1,3.6,58
1,1,1,2.5,12
1,1,1.75,3.2,84
1,1,1.5,2.7,NA
0,1,1,2.5,22
1,1,2.5,2.1,84
1,1,2,3.3,75
1,1,1.5,3.5,62
1,1,1.75,2.9,25
1,1,1.75,3.5,1
1,1,2,2.9,31
0,1,1.25,3.3,61
0,1,2.75,2.3,1
1,1,2,3.2,1
0,1,1.25,3.67,91
1,1,1.75,3,23
0,1,3,3.4,45
1,1,1.25,3.6,49
0,1,1.25,3.8,35
1,1,1,2.9,15
1,1,1.25,3.7,13
1,1,2.5,2.4,17
0,1,2.5,2.7,35
0,1,1,2.5,13
1,1,1.75,1.5,11
1,1,2.75,2.8,53
0,1,1,3,3
0,1,1.5,1.7,40
0,1,1,3.6,84
1,1,NA,2.5,57
0,1,1,3.9,29
1,1,3,3.6,34
1,1,2.75,3.6,60
0,1,2.25,3.1,44
0,1,1.5,3.11,61
0,1,1,3.1,6
0,1,1.25,2.9,51
1,1,1.75,3.6,8
0,1,1,4,3
1,1,2,2.9,84
1,1,2.75,3,40
1,1,1.25,3.9,43
1,1,2.5,3.8,81
1,1,2,3.4,47
0,1,1,3.2,20
1,1,2.25,3.8,76
1,1,1.75,4,59
1,1,2.25,3.2,43
0,1,1,3.5,41
1,1,2,2.8,44
1,1,1.75,3.8,82
0,1,1,3.8,61
1,1,1.25,3.8,46
0,1,1.25,3.6,13
1,1,1,4,59
1,1,2.5,2.4,54
1,1,1.5,3.1,1
0,1,1.75,2.7,15
1,1,1,4,6
1,1,1.75,3.3,4
1,1,2.25,3.6,1
1,1,1,2.5,1
0,1,2.5,3.5,70
0,1,1.5,2.4,37
0,1,1,3.5,75
1,1,1.5,2.8,34
1,1,1,4,57
1,1,1.25,3.1,17
1,1,1.5,2.8,75
0,1,1.75,2.3,1
1,1,1,4,65
0,1,2.25,2.8,13
1,1,1.25,3.3,12
0,1,1,4,29
0,1,1.5,3.4,32
0,1,1.5,2.4,1
0,1,1.5,2.4,24
0,1,1,3.7,65
1,1,1.75,3.5,45
1,1,1,3.9,60
1,1,2.33,3.8,20
0,1,2.25,4,NA
0,1,2,3.2,54
1,1,1.75,3.9,67
1,1,2,4,27
0,1,1.5,3.8,13
1,1,2,3.5,60
0,1,1,3.2,57
0,1,2,2.8,67
0,1,1.25,3.4,50
1,1,1.25,4,5
1,1,1.75,2.9,NA
1,1,1.75,3.8,60
1,1,1.25,3.7,37
0,1,1.25,2.1,11
0,1,2.25,3.4,60
1,1,1,3.1,NA
1,1,1.25,3.9,60
1,1,2,2.8,54
1,1,2.25,3.3,37
1,1,1.5,3.9,57
0,1,1.25,4,84
1,1,2.25,2.8,31
1,1,1.75,3,NA
0,1,1.75,3.4,24
1,1,1,3.3,21
1,1,1.5,3.5,47
1,1,1.75,2.67,35
1,1,1.5,4,79
1,1,2,3.2,34
1,1,1.25,3.5,79
0,1,1,4,40
1,1,2,3.5,44
1,1,3,2.7,NA
0,1,1.25,3.7,34
0,1,1,3.7,49
1,1,3,3.6,87
0,1,1.75,3.7,94
1,1,2,3.5,46
0,1,1,3.33,32
1,1,1.5,3.5,99
0,1,1.25,3.8,51
0,1,1,4,20
1,1,1.75,3.6,31
0,1,1,3.4,51
1,1,1,4,56
0,1,1.25,3.7,89
0,1,1,3.8,49
1,1,2.5,2.6,15
0,1,4,2.5,22
1,1,1.75,3.1,28
1,1,2.5,2.9,41
0,1,1.25,3.5,46
0,1,1,3,31
1,1,1.5,2.8,41
0,1,1,3.8,54
1,1,3,2.6,31
1,1,2,4,79
1,1,1.5,3.7,17
0,1,1.25,3.6,80
1,1,1.5,3.5,53
1,1,1.5,2.7,65
0,1,1.75,3.3,11
1,1,1.75,2.2,NA
0,1,2.75,2.5,81
1,1,1.5,4,26
0,1,1,2.7,1
1,1,2.75,3.3,24
0,1,2,2.7,26
0,1,2.5,1.1,13
0,1,1.5,3.4,54
0,1,1.5,3.4,64
0,1,1,3.7,0
0,1,2.5,3.2,35
0,1,1.5,4,NA
0,1,1.75,3.33,NA
1,1,1,3.2,47
1,1,3,2.6,11
0,1,1.75,3.7,38
1,1,1,3.6,85
1,1,2.25,3.3,NA
0,1,1.25,4,86
0,1,1,3.7,29
1,1,1.5,3.8,94
1,1,3,2,62
0,1,1.5,3,49
1,1,2.25,2.8,65
1,1,1.25,3.7,46
0,1,2,3.3,46
0,1,1.75,3.5,45
1,1,1.5,2.7,41
0,1,1.5,4,71
1,1,1.75,2.9,65
1,1,1.25,3.5,57
1,1,1,3.5,61
0,1,1.5,2.7,87
1,1,1.5,3.5,57
0,1,1,4,97
1,1,1.25,3.1,61
1,1,2.75,3.2,87
0,1,1.25,3.6,75
0,1,1,3.67,25
1,1,2.75,2.6,25
1,1,1.25,3.4,62
0,1,2,2.9,57
1,1,1.75,4,99
1,1,1.5,2.9,73
0,1,1,4,23
0,1,1.5,4,10
0,1,1.5,2.9,10
1,1,1.75,3.6,65
1,1,4,2.22,95
0,1,1.5,3.3,NA
1,1,1.75,2.8,8
0,1,1.75,3.5,6
1,1,1.75,2.1,28
1,1,1,3.7,65
1,1,2,3.1,65
1,1,1.5,3.4,31
1,1,1.5,3.4,20
0,1,1.5,3.1,66
0,1,1,3.4,31
0,1,1,3.3,4
0,1,1.5,3.6,45
0,1,1,3.4,6
0,1,2.5,2.7,20
0,1,1,3.9,16
0,1,1.75,3.6,15
1,1,2.5,2,1
1,1,3.25,2,25
0,1,2.25,2.8,46
0,1,NA,2.8,4
1,1,1.75,3.4,54
1,1,2.25,2.7,20
1,1,2,3.4,NA
0,1,1.5,3.8,49
0,1,1,3.67,45
1,1,1,3.4,79
1,1,1.5,3.8,58
1,1,2,2.9,25
0,1,1.25,2.8,15
1,1,2.25,4,20
0,1,2.25,2.8,10
0,1,1,3.7,45
1,1,2.25,3.1,41
1,1,1.25,3.4,49
0,1,1,2.9,35
0,1,1.25,3.5,4
1,1,1.5,2.9,61
0,1,3,3.8,31
1,1,2.25,3.5,28
1,1,2.5,2.4,NA
1,1,1.5,3.3,97
0,1,3,3.2,22
1,1,1,3.8,41
0,1,1.5,3.1,11
0,1,1,3.8,46
0,1,1,2.4,54
0,1,1.25,3.9,32
0,1,2.75,3.7,84
1,1,2.25,3.8,3
1,1,1,3.5,41
0,1,1,4,57
0,1,1,4,45
1,1,1,3.9,77
1,1,1,3.5,91
0,1,2.25,3.3,53
1,1,2.5,3.4,83
0,1,2.25,2.4,76
0,1,1,3.4,48
0,1,2,2.5,70
0,1,1.75,2.5,81
1,1,1.75,3.7,64
0,1,1.5,3.4,67
1,1,1.75,3.5,46
0,1,3.5,1.6,67
0,1,1.75,2.6,41
0,1,1.25,3.5,70
1,1,2,3.9,47
1,1,2.25,3.6,71
1,1,1.75,2.8,70
1,1,1.5,4,68
0,1,1.5,3.9,64
1,1,1.5,3.1,63
0,1,1.25,3.7,55
0,1,3.75,1.6,88
1,1,1.25,4,22
1,1,1.5,3.3,NA
1,1,1.25,3.8,76
1,1,1.5,3.4,20
1,1,1.25,3.7,46
0,1,3,3.8,91
1,1,1,4,NA
0,1,1.25,3.3,50
0,1,NA,3.6,61
0,1,1.25,3.7,43
1,1,1,3.7,40
0,1,1.5,3,49
1,1,1,3.7,59
0,1,1,4,81
1,1,2,3.1,71
1,1,1.5,3.1,5
1,1,1.25,3.4,3
0,1,1,3.9,34
1,1,1.5,3.2,54
1,1,2,4,25
0,1,1,3.6,1
1,1,1.5,3.2,79
0,1,1,3.6,25
1,1,1.5,3.7,79
1,1,1,3.5,61
1,1,1,4,41
0,1,1,3.6,31
1,1,1,2.6,34
1,1,1,4,20
1,1,1.25,3.6,37
0,1,1,3.7,54
1,1,1.25,4,32
0,1,1,4,85
0,1,2,3.2,27
0,1,NA,NA,11
0,1,1,3.7,82
1,1,1.5,3.6,79
1,1,1.75,2.89,NA
0,1,1.25,3.8,50
1,1,1.25,3.9,NA
1,1,2,3.8,20
0,1,1,4,97
1,1,1,3.9,79
0,1,2.25,2.3,NA
1,1,1.5,3.9,75
1,1,1.25,3.6,NA
0,1,1.5,3.7,62
0,1,1.5,3.2,41
1,1,1.75,3.6,57
1,1,2,3.9,43
1,1,2.75,2.1,70
1,1,1.5,2.9,74
1,1,1,4,79
0,1,1.5,3.6,91
0,1,1,3.7,34
1,1,1.5,4,44
0,1,1.25,3.6,63
0,1,1.25,3.6,NA
0,1,1.75,3.7,32
0,1,1,3.5,41
0,1,1.25,4,59
1,1,1.5,2,41
0,1,1.75,3.5,37
0,1,1,3.9,58
1,1,1.25,4,10
0,1,1.25,2.4,20
1,1,2,3.2,22
0,1,3,3,62
1,1,1.25,3.2,NA
0,1,1.25,3.2,NA
0,1,1.5,3.7,43
0,1,1.25,3.6,84
1,1,1.75,3.3,70
0,1,1.5,3,99
1,1,3.5,2.8,20
0,1,1.5,4,80
0,1,1.25,3.1,40
0,1,1.25,2.9,82
1,1,1,3.9,76
1,1,1.5,3.3,37
1,1,1.25,3.3,25
1,1,1.5,4,70
0,1,1.5,3,54
0,1,1.5,3.9,31
0,1,1.33,3.6,63
0,1,1.75,2.7,32
0,1,3.25,3.7,49
1,1,1.75,2.3,31
0,1,NA,NA,22
0,1,1,4,47
1,1,2.25,3.4,12
0,1,1,NA,57
1,1,NA,3.2,15
0,1,1,2.5,15
1,1,1,3,87
1,1,1.75,3.2,20
0,1,3,2.8,66
0,1,1.5,3.2,18
0,1,1,4,62
1,1,2.5,3.1,98
1,1,1.75,2.7,61
1,1,1,3.4,97
0,1,1.5,2.6,41
1,1,1.5,2.4,54
0,1,1,3.4,45
1,1,1.75,3.8,65
0,1,1.75,3.7,61
0,1,2,3.4,28
0,1,1.25,3.3,20
1,1,2.25,2.8,65
0,1,2.5,2.9,3
1,1,2.75,2.6,5
1,1,1,3.8,35
1,1,3.5,2,37
1,1,1.5,3.9,29
0,1,1.5,3.4,35
0,1,1,3.56,70
1,1,2.25,3.7,40
1,1,3,2.2,46
0,1,1.75,3.4,13
0,1,3,2.9,25
1,1,1.25,3.5,49
