sex_f,birthregion_us,dep1,se1,sra
0,1,1.5,3.5,62
1,1,NA,2.9,29
1,1,3.75,1,62
0,1,1.25,3.4,41
1,1,1.25,3.6,88
0,1,1.5,3.9,57
0,1,1.5,3.1,65
0,1,2,2.89,22
1,1,2.25,3.1,18
0,1,1.25,3.7,76
1,1,1.5,3.5,67
0,0,2.25,4,82
1,0,1,3.7,29
1,0,1.25,3.7,73
1,0,1.5,4,86
0,0,1.25,3.3,4
0,0,2,3.2,26
1,0,1.25,3.7,34
0,0,1,4,NA
1,0,2,3.3,81
0,0,1.25,4,22
0,0,1.75,3.3,44
1,0,1.25,3.7,59
1,0,2.5,1.3,NA
0,0,1.5,3.8,62
1,0,1.25,3.3,21
0,0,1.25,3.8,NA
0,0,1,3.6,61
0,0,1.5,3,11
1,0,2,3.2,54
1,0,1.25,4,84
1,0,1.25,3.6,NA
1,0,2,2.9,51
1,0,1,4,NA
0,0,1.25,3.7,NA
0,0,1,4,NA
1,0,1,4,NA
1,0,2,2.7,21
1,0,1.25,2.8,18
0,0,1.25,3.1,11
1,0,1.75,3.9,NA
1,0,2.25,3.5,22
1,0,2.75,2.7,18
1,0,3.25,2.8,NA
1,0,1,2.8,67
1,0,1,3.6,62
0,0,1,3.8,20
0,0,1.25,3.2,79
1,0,1,3.5,35
1,0,1,3.9,60
1,0,1.5,3.9,55
1,0,1.5,3.5,73
1,0,1.75,3.5,37
0,0,1,NA,37
1,0,1.75,3.8,54
1,0,2,NA,18
0,0,1,3.2,37
1,0,1,3.5,88
1,0,1.5,3.1,31
1,0,1.25,3.5,60
1,0,1.5,3.3,24
1,0,1,4,29
0,0,1.5,3.5,57
1,0,1.75,3.6,37
1,0,1,3.44,3
1,0,1,4,79
0,0,1.5,3.5,84
1,0,1.75,3,5
1,0,2.5,3.8,31
0,0,1,2.8,24
1,0,1,3.7,56
1,0,2.25,NA,35
0,0,1.5,3.9,37
0,0,1.75,3,13
0,0,1,4,37
1,0,1,3.67,16
1,0,2.5,2.9,81
1,0,1.25,3.9,18
1,0,1.75,3.6,29
1,0,2,3.1,49
0,0,1.5,3.9,NA
0,0,1,3.1,8
1,0,3.25,2.7,58
1,0,3,2.4,NA
0,0,1,3.33,NA
1,0,1.5,3,20
0,0,1,3.4,22
1,0,1.75,3.3,NA
0,0,1,NA,13
1,0,1,3.7,61
1,0,2,3.3,25
0,0,2,3.5,NA
1,0,1,2.78,NA
1,0,1.5,3.4,40
0,0,1.75,3.6,35
0,0,1.25,3.9,54
0,0,3,3,4
1,0,2.5,3,22
0,0,1,3.6,25
1,0,1,4,31
1,0,3,2.9,NA
1,0,1,3.5,37
0,0,1.25,3.9,21
0,0,1,4,64
0,0,1.25,3.8,11
0,0,1,2.3,1
1,0,2,2.7,35
1,0,2.25,3.4,49
1,0,1.75,3,53
1,0,1.75,3.7,9
1,0,1,3.6,4
1,0,2,3.4,12
1,0,1,4,49
1,0,1.5,3.8,84
0,0,1,4,93
0,0,1,2.9,NA
1,0,1.75,3.3,54
0,0,1,3.8,16
0,0,1.25,3.5,22
1,0,2.25,2.3,50
1,0,2,2.9,74
0,0,1.25,3.3,8
1,0,2,3.4,16
1,0,1.5,3.4,16
1,0,1.25,3.3,24
1,0,1,3.5,2
1,0,1.5,3.8,45
1,0,1.5,3.3,NA
1,0,1.75,3,19
0,0,1.5,4,35
1,0,1,3.7,40
1,0,1.5,3.3,14
1,0,1.5,3.6,40
0,0,1.75,3.3,41
1,0,2.5,2.8,76
0,0,1.25,3,21
1,0,1,4,50
1,0,2,3.9,22
0,0,2,3.4,47
1,0,1.75,3.2,37
1,0,2,3.9,70
1,0,1.25,3.8,61
1,0,2,3,35
1,0,1.5,3.7,34
1,0,1.25,4,62
1,0,2.75,3.1,65
1,0,2.75,3.8,40
1,0,1.75,3.6,68
1,0,1.75,3.8,39
1,0,1.25,3.7,70
0,0,1,3.4,62
1,0,1.25,2.8,NA
1,0,2.5,2.9,56
1,0,1.25,3.2,NA
1,0,2.5,3.3,34
1,0,2,4,NA
0,0,1.75,3.6,49
1,0,1.75,3.7,NA
1,0,1,4,35
1,0,2,3.4,67
0,0,1.75,2.8,NA
1,0,1,2.2,11
1,0,1,3.8,27
1,0,1.25,3.5,10
1,0,1.75,3.5,NA
0,0,1.75,3.4,63
0,0,1.5,3.9,25
0,0,1.5,2.9,25
1,0,1,3.5,59
1,0,1,3.8,NA
1,0,1.25,3.3,57
1,0,2,4,79
1,0,1.75,3.7,NA
1,0,1.75,3.9,61
1,0,1.5,3.5,54
0,0,1.75,3.9,22
1,0,2,3.56,71
1,0,1.75,3.4,40
1,0,1.75,3.8,6
1,0,1.75,3.8,NA
1,0,2.75,2.5,76
1,0,1.5,2.7,40
0,0,1.75,3.6,54
0,0,1,3.6,37
1,0,3.5,3.7,NA
0,0,1.25,3.4,NA
0,0,1,4,29
1,0,2.25,3.4,2
1,0,2,3,NA
1,0,NA,4,22
0,0,2,2.2,7
1,0,3,2.7,70
0,0,2.25,2.7,NA
1,0,1,3.7,57
0,0,1,3.3,2
0,0,2,3.5,37
1,0,1.5,2.7,62
0,0,1,3.9,62
0,0,2,4,56
0,0,1.25,4,34
1,0,1.75,3.67,46
0,0,1.25,3.3,14
0,0,1.25,3.4,32
1,0,2.5,2.6,NA
0,0,1,3.8,57
0,0,2,NA,9
1,0,1.25,3.8,46
1,0,1,3.4,35
1,0,1,2.6,68
0,0,2.75,3.2,88
0,0,1.75,3.5,NA
1,0,1,3.9,NA
1,0,1,3.2,0
0,0,1,2.5,2
0,0,1,3.7,49
1,0,1.75,3.3,28
0,0,2,2.89,NA
0,0,1.25,3.4,52
0,0,1.25,2.2,NA
1,0,1,3.9,61
1,0,1.25,4,NA
1,0,1,3,20
1,0,1,4,61
0,0,2.25,2.2,70
1,0,1,NA,2
1,0,2.5,2.1,1
0,0,3,2.8,17
1,0,1,3.3,15
0,0,1.75,3.9,10
1,0,3.25,3.7,6
1,0,3.5,3.3,41
1,0,2.75,3.2,20
1,0,1.75,3.6,31
1,0,1.75,3,2
0,0,1,3.2,9
0,0,1,3.3,3
1,0,2.75,3,NA
0,0,1.75,2.5,3
0,0,1,NA,NA
0,0,1,2.5,3
0,0,1.25,2.7,9
1,0,1,3.5,6
1,0,3.5,4,41
1,0,1,3.1,41
1,0,1.25,3.7,41
1,0,2,3.8,57
0,0,3,2.6,65
0,0,2.25,4,20
0,0,2.25,3.2,NA
0,0,2,3.3,11
0,0,1.25,3.1,41
0,0,2.75,2,NA
1,0,2.5,3.3,70
1,0,2.25,3.2,37
1,0,2.25,3,81
0,0,1.25,3.1,18
0,0,1.75,2.44,NA
1,0,2.75,3.5,27
1,0,1.5,3.6,63
1,0,3.5,2.1,23
0,0,3.25,3.4,61
1,0,1.75,3.4,6
0,0,1.5,3.3,95
1,0,2,3.3,38
1,0,2.5,2.4,31
1,0,1,3.7,86
1,0,1.25,3,18
1,0,1.25,3.9,NA
0,0,1,3.2,35
1,0,1.5,3.7,35
1,0,1.25,3.6,57
0,0,1.25,3.7,16
1,0,1.75,3.2,37
1,0,1,4,49
0,0,2.25,2.9,79
1,0,1,3.8,76
0,0,1.25,3.9,NA
1,0,2.5,3.3,88
1,0,2.25,3.7,4
0,0,1,3.1,20
0,0,1.25,3.7,70
0,0,2,2.6,27
1,0,1.5,3.9,16
0,0,1.25,3,31
0,0,1.5,3.7,37
1,0,2.25,2.8,35
0,0,1.75,3.5,31
1,0,1,3.5,55
0,0,2.75,NA,1
1,0,2,3.3,18
1,0,1.75,3.9,NA
1,0,2,2.6,9
1,0,1.5,3.1,5
1,0,3,3.8,37
1,0,2,2.9,37
1,0,3.75,2.7,3
0,0,4,3.3,4
1,0,2.5,3.2,32
1,0,1.75,3.9,40
0,0,1.25,3.4,70
0,0,1,2.8,3
1,0,1.75,3.1,20
0,0,2.75,2.3,57
1,0,1.25,3.4,23
1,0,1.5,3.5,18
1,0,1.75,2.1,46
1,0,1.5,2.1,1
1,0,1.75,3.4,43
1,0,1.5,3.2,44
0,0,1.75,3.7,73
1,0,1.25,3.5,70
1,0,2.5,3,8
1,0,1.5,3.5,35
1,0,2.75,3.8,NA
1,0,2.25,3.3,50
1,0,2.75,3.8,50
1,0,1.25,2.7,37
1,0,1.75,3,47
1,0,2.5,2.4,9
1,0,1.25,3.3,NA
0,0,1.25,2.56,29
0,0,1.5,3.9,79
1,0,1.75,3.2,41
1,0,2,2.7,41
0,0,1.5,3.1,18
1,0,3.75,2.3,61
1,0,1.5,3.1,12
1,0,2,3.1,13
1,0,1.75,3.8,46
1,0,2,3.6,29
1,0,1,3.8,73
1,0,2.75,2.4,32
1,0,2.25,2.9,1
0,0,2.25,2.8,37
0,0,1.25,3.4,73
1,0,1.25,2.8,20
0,0,1.5,2.9,NA
0,0,1,3.1,54
1,0,1.5,3.2,9
1,0,1.5,3.8,62
1,0,3.75,3.8,54
1,0,1.75,3.6,41
1,0,1.75,3.3,NA
0,0,1,2.8,40
0,0,1,3.78,NA
1,0,1.75,2.7,2
1,0,2.25,4,41
1,0,1,4,54
1,0,1.25,3.5,50
0,0,1.5,2.5,25
1,0,1.5,2.4,NA
1,0,2.5,2.6,43
1,0,2.5,4,32
0,0,1.75,3.8,61
1,0,1.25,4,8
1,0,1,2.4,13
0,0,1,3.9,37
0,0,1.25,3.3,NA
1,0,1.75,2.9,NA
1,0,1,3.2,35
0,0,1,3.7,NA
1,0,1.75,4,24
1,0,1,3.4,85
0,0,1.75,4,62
0,0,2,2.4,4
0,0,2.5,3.9,64
1,0,1.75,2.8,4
1,0,1.25,3.5,5
0,0,1,3.5,71
1,0,2.75,3.6,87
1,0,2,3.4,1
0,0,1,3.6,34
0,0,1,3.8,4
0,0,1.75,3.1,8
1,0,2,3,NA
0,0,2,3.2,20
0,0,2,3.7,79
0,0,1.75,3.7,1
0,0,1.25,3.7,3
0,0,2.25,2.8,1
1,0,1.75,2.8,2
1,0,2.5,3,NA
0,0,2.5,3.4,8
0,0,1,3.5,70
0,0,1.75,3.3,1
1,0,1.5,3.5,79
0,0,1.5,3.33,NA
1,0,1.5,2.9,31
1,0,1.75,3.5,79
1,0,1.5,3.9,99
0,0,1.75,3.9,66
0,0,1,3.44,24
1,0,1.5,3.8,NA
0,0,2.5,3,NA
1,0,1.25,4,87
1,0,1.75,2.6,49
1,0,3.25,3.1,40
0,0,1,2.5,NA
1,0,1,2.44,NA
1,0,2.25,3,18
0,0,2,3.9,55
0,0,1.5,3.7,67
0,0,1,3.8,29
1,0,1.5,3.3,83
0,0,1.5,3.9,6
1,0,1.25,3.8,66
1,0,1,3.8,10
1,0,1.5,3.4,70
0,0,1.5,3.5,47
0,0,1,4,43
0,0,1.75,3.7,12
0,0,1.25,3.4,68
0,0,1,3.9,54
1,0,NA,NA,43
0,0,1,3.1,81
1,0,1,3,32
0,0,1.25,3.6,NA
0,0,1,3.4,2
1,0,1.75,4,20
1,0,1.75,3.7,73
0,0,1,3.6,34
0,0,1,NA,37
1,0,1.75,2.4,16
0,0,1,2,54
0,0,1,3.5,25
0,0,1.25,3.5,16
0,0,1,4,37
1,0,1.5,3.2,62
0,0,1.25,3.4,73
0,0,1,2.3,25
0,0,1.5,3.2,22
0,0,1.5,2.9,NA
0,0,1.5,2.6,NA
1,0,2,2.1,1
1,0,1.25,3.2,67
0,0,2,3,20
1,0,2,3.8,NA
1,0,1.75,2.9,NA
0,0,1,3.4,NA
1,0,1.25,2.9,22
0,0,1.25,3.8,59
0,0,1.25,3.4,13
1,0,1,3.33,76
0,0,1,4,88
0,0,1.25,3.8,88
0,0,1,3.4,6
1,0,3,2.8,NA
0,0,1.25,3.5,40
1,0,1.5,4,67
1,0,2.5,3.6,24
1,0,3,2.1,71
1,0,2.75,1.8,50
0,0,1,3.7,1
1,0,2,3.9,27
1,0,2.5,2.2,NA
0,0,1.25,2.5,25
1,0,1.25,2.8,12
1,0,1.25,3.4,20
1,0,3,2.8,1
0,0,2.25,3.7,79
1,0,1,4,73
1,0,1,3.8,57
0,0,2,3.5,67
1,0,1.33,2.7,1
0,0,1.5,3.7,35
1,0,2.75,3.3,43
0,0,1.25,3.4,67
1,0,2.75,3.1,87
1,0,1,3.2,32
1,0,1,4,22
0,0,1,3.8,47
1,0,2.75,3.8,22
1,0,1.25,3.7,44
0,0,1.75,3.9,70
0,0,1.5,2.2,37
1,0,1.75,3.9,46
1,0,1,4,67
0,0,1.25,3,57
0,0,1,3.1,7
1,0,1.25,2.8,24
1,0,2,3.3,68
0,0,1.75,3.1,12
1,0,1.75,3,70
1,0,1.25,3.2,79
1,0,2,2.9,5
1,0,2.25,3.1,16
0,0,1.25,3.8,82
0,0,1.5,3.7,67
0,0,1.25,3.6,16
0,0,1.25,2.9,86
1,0,2,2.9,29
0,0,1,3.7,27
0,0,1.5,3.6,12
1,0,1.5,3.8,NA
0,0,1.75,3.1,25
1,0,2,2.9,79
0,0,1,3.5,18
1,0,1.75,3.3,27
1,0,1.25,3.1,31
1,0,1,4,37
0,0,1,4,16
1,0,2.5,4,27
0,0,1,3.9,83
0,0,1.5,3.5,43
0,0,1,4,80
1,0,1.75,3,NA
0,0,1.5,2.7,NA
0,0,1,3.5,NA
0,0,2.25,3.4,57
1,0,1.25,3.1,43
1,0,1.75,3.4,43
1,0,2.25,2.8,63
1,0,2.75,2.8,62
0,0,1,3.56,24
0,0,1,3.9,29
0,0,3.25,3.1,32
0,0,1,4,NA
0,0,1.25,3.4,43
1,0,1.25,3,44
1,0,1,3.8,37
1,0,1.75,4,54
0,0,1,3.4,24
0,0,1,3.8,9
0,0,1.25,2,NA
1,0,2.75,3.44,1
0,0,2,3.5,37
1,0,2,3.6,84
1,0,1,4,73
1,0,1.75,2.9,NA
1,0,2.25,3.1,44
0,0,1.5,3.7,29
1,0,2.5,3.3,80
1,0,2.5,2.3,NA
1,0,1.5,3.4,71
0,0,1,3.9,18
0,0,2.5,3,70
1,0,1.75,3.7,67
1,0,2,3.1,16
0,0,1,3.7,22
1,0,1,4,86
0,0,1.75,2.6,62
1,0,1.5,3.5,37
0,0,2.5,2.9,76
0,0,1,3.8,74
0,0,1.25,3.7,8
1,0,1.25,3.8,60
0,0,1.5,2.9,8
0,0,1.25,3.9,29
1,0,1.75,3.2,60
1,0,2,4,67
1,0,1.25,4,50
0,0,1,3.1,24
0,0,1,3.9,NA
1,0,2.75,3.5,74
1,0,1.75,3.4,18
1,0,1.75,3.3,74
1,0,1,4,79
1,0,1,3.9,73
1,0,1,4,31
1,0,1.25,3.2,NA
0,0,2,3.8,29
1,0,1.5,3.5,13
0,0,1.25,3.6,51
1,0,2.5,2.6,1
1,0,1.25,4,54
0,0,1.5,3.9,76
1,0,1.75,3.4,62
1,0,2.75,3.5,NA
1,0,1.25,4,32
0,0,2,2.9,4
1,0,1,3.4,35
1,0,1.25,3.6,80
0,0,1,4,NA
1,0,3.75,2.3,37
1,0,1.75,3.2,8
0,0,2,3.2,79
1,0,3,2.9,54
1,0,2,3.3,18
1,0,1.25,3.7,87
1,0,1.5,3.9,27
0,0,2,3.6,91
0,0,NA,3,76
1,0,1.25,4,74
0,0,1,4,67
0,0,1,4,95
0,0,1,3.6,74
1,0,1.25,3.4,32
1,0,1.75,3.3,79
1,0,2.25,2.3,NA
1,0,2,2.6,28
0,0,1,3.7,53
1,0,1.25,3.8,76
1,0,1,3.2,27
1,0,NA,NA,63
0,0,1,3.6,86
1,0,1.5,4,76
1,0,1.25,3.4,11
1,0,1.25,3.6,18
0,0,2.25,3.2,79
0,0,1,3.5,16
1,0,1.5,4,76
0,0,1,3.6,46
1,0,2.75,1.5,51
0,0,1.5,3,50
1,0,2.25,2.2,62
1,0,1.5,3.2,40
1,0,1.5,2.8,3
1,0,3.75,3.8,4
1,0,1,4,27
1,0,1,4,44
1,0,2,3.6,20
1,0,1.5,4,54
1,0,1.75,3.6,NA
1,0,1.75,3.4,27
1,0,4,3,51
1,0,2.5,3.6,62
1,0,1.25,3.9,73
0,0,1,3.1,53
1,0,1,3.7,53
0,0,1.75,3.2,67
1,0,1.5,3.1,60
0,0,1.5,3.7,56
0,0,1.5,3.3,NA
1,0,1,3.8,NA
1,0,1.5,3.8,56
0,0,1,3.1,34
1,0,1.5,3.6,1
0,0,1.75,2.8,NA
1,0,1,3.7,52
1,0,1.5,3.6,57
0,0,1,3.5,21
0,0,1,3.4,40
0,0,1,3.8,79
1,0,2.75,2.3,64
1,0,2,4,37
0,0,1.5,3.5,29
0,0,2,2.9,35
0,0,1,3.7,37
1,0,1.75,3.8,87
1,0,1.25,3.6,NA
1,0,3.25,3.2,54
0,0,2.25,2.4,NA
1,0,2,3.1,10
1,0,1.25,4,57
1,0,1.5,2.5,84
0,0,1.5,3.7,6
1,0,1,4,81
0,0,2,3.6,88
1,0,1.5,2.7,24
1,0,1.25,4,74
0,0,1.25,4,78
1,0,1.75,3.2,34
1,0,1.5,3.2,18
0,0,1.5,3.8,86
0,0,1.25,3.2,60
1,0,2,3.3,61
1,0,1.25,3.8,43
1,0,1.75,3.6,34
1,0,1,4,79
0,0,1.25,3.6,61
0,0,1,4,74
1,0,3.75,2.4,14
0,0,1.25,2.7,3
1,0,2.25,3.1,3
0,0,2,2.5,16
1,0,1.5,3.8,37
1,0,1.25,4,84
0,0,1,3.8,57
0,0,1,4,35
1,0,1.5,4,12
1,0,2.25,3.8,32
1,0,1.5,4,67
0,0,1.25,3.9,83
1,0,2.75,4,50
1,0,1.25,3.7,40
1,0,1,3.3,37
0,0,NA,3,20
1,0,1,3.4,27
1,0,2,3.3,46
1,0,1.75,3.2,76
1,0,1.5,2.9,2
0,0,1,3.2,57
0,0,1,3.8,27
0,0,1.25,3.6,44
1,0,1.75,2.6,85
0,0,1.75,3,78
0,0,1,4,79
1,0,1.5,2.7,28
0,0,2.25,2.9,4
1,0,1,3.1,NA
0,0,1.5,3.6,46
0,0,1.75,2.8,18
0,0,1.5,3.9,40
1,0,1,3.6,6
0,0,1,3.8,47
1,0,2.25,2.9,57
1,0,3,2.5,37
0,0,NA,3.4,32
1,0,1.75,3,41
1,0,1.25,4,88
0,0,1.5,3.2,37
1,0,1.75,3,37
0,0,1,3.7,22
1,0,1,3.9,55
0,0,1,3,41
1,0,1.5,3.3,16
0,0,1.5,3.5,14
1,0,2,3.7,27
1,0,3,2.4,55
1,0,1.25,3.9,79
1,0,1.25,3.5,NA
1,0,1.75,3.8,50
1,0,2.25,3,46
1,0,1.25,3.3,76
0,0,1.5,3.11,10
0,0,1,3.5,43
1,0,1,3.9,37
1,0,1,3.8,35
1,0,3.5,2.6,35
1,0,2.25,2.6,80
0,0,1,3.7,NA
1,0,2.25,4,55
1,0,1.75,3.8,62
1,0,1.25,3.7,51
0,0,1.75,3.9,12
1,0,2.75,3.2,29
1,0,1.25,4,20
0,0,2,3.4,46
0,0,1,3.9,18
0,0,1,3.6,70
1,0,1.25,3.9,22
1,0,2.25,3.6,83
0,0,1,3.6,50
1,0,2,3.7,24
1,0,1.75,3.6,50
1,0,2,3.9,62
0,0,1.5,2.9,NA
1,0,1,3.8,50
1,0,1.5,3.5,63
0,0,2,3.7,35
1,0,1,3.9,25
1,0,1.5,3,73
0,0,1.25,3.1,12
1,0,1.75,3.5,29
0,0,1,4,NA
0,0,1,3.7,22
1,0,1.75,2.9,11
0,0,1.75,3.3,21
1,0,1,3.7,32
1,0,1,3,57
0,0,1,4,NA
0,0,1.75,3.5,18
1,0,2.25,3.3,11
0,0,1,2.9,21
0,0,1.25,3.7,57
0,0,3,2,NA
1,0,2.75,2.9,46
1,0,NA,2.9,35
1,0,1,3.6,32
0,0,2.25,3.4,14
1,0,3.25,2.8,35
0,0,1.25,3.89,26
1,0,2.25,2.7,NA
0,0,1.75,3.5,4
1,0,1,3.33,12
0,0,1.25,3.2,9
1,0,2.5,3.2,4
1,0,1.75,2.5,22
0,0,1.25,3,29
0,0,1,3.9,7
0,0,1,3.2,44
0,0,2.5,2.3,0
1,0,1.25,3.3,43
0,0,1,3.6,51
0,0,2.75,3.3,NA
0,0,1.75,3.7,NA
1,0,1.5,3.7,73
0,0,1.5,3.6,NA
1,0,1.5,3.7,79
0,0,2,2.9,70
1,0,1,3.1,NA
0,0,1,3.9,41
0,0,1.5,3.8,67
1,0,3.5,2.6,21
1,0,3.25,3,NA
1,0,1.25,2.8,17
0,0,1.25,3.5,0
0,0,1.5,3.3,73
1,0,2.5,2.7,4
1,0,3.75,3.9,NA
0,0,NA,3.1,67
0,0,1.25,3.7,37
1,0,2.25,3.2,62
0,0,1.5,3.6,20
1,0,2.25,3.6,85
0,0,1,NA,4
0,0,2,4,44
0,0,2,3.4,62
1,0,2,4,40
